time	size
21337	23
21338	26
21340	20
21342	24
21345	23
21347	23
21348	32
21349	15
21358	26
21364	19
21383	20
21385	21
21400	20
21629	56
21644	28
21787	26
21789	26
21795	21
21798	18
21799	20
21827	20
22258	20
22280	23
22299	22
22300	20
22306	26
22308	23
22486	47
22498	23
22535	30
22549	2
22556	69
22601	51
22610	20
22613	21
22789	20
22794	20
22806	37
22811	32
22813	19
22824	23
22970	44
23027	85
23117	29
23139	37
23141	14
23407	58
23416	23
23420	21
23421	24
23422	22
23424	19
23425	19
23427	30
23430	17
23510	22
23513	49
23560	72
23708	20
23757	26
23759	20
23762	26
23815	35
23817	20
23822	20
23823	22
23866	43
23944	21
23951	22
23954	23
24008	23
24010	26
24078	20
24154	26
24155	21
24162	20
24164	21
24170	32
24172	27
24184	17
24196	23
24341	23
24343	17
24407	20
24436	241
24443	23
24547	20
24549	17
24829	16
24831	26
24832	20
24920	23
24929	26
25211	26
25221	17
25223	23
25226	26
25231	27
25281	85
25433	18
25794	20
25853	18
25912	22
26058	20
26222	26
26343	20
26350	26
26451	20
26455	23
26472	20
26478	17
26495	24
26508	26
26522	32
26551	27
26779	20
26783	32
26980	25
26986	28
27093	20
27164	26
27166	23
27243	25
27246	23
27248	23
27269	23
27271	29
27368	18
27500	29
27715	26
27773	24
27777	23
27780	29
27853	23
27870	20
27871	26
27873	25
27968	17
27971	26
27973	32
28292	31
28293	34
28544	101
28554	32
28561	8
28563	10
28566	34
28572	32
28576	32
28578	44
28579	8
28580	21
28582	458
28584	23
28585	28
28588	56
28593	109
28597	17
28600	458
28602	11
28605	11
28613	20
28615	38
28616	38
28617	32
28618	71
28622	449
28632	32
28634	20
28640	36
28649	79
28656	17
28660	266
28661	17
28667	17
28668	17
28670	23
28684	11
28702	29
28706	38
28724	71
28726	426
28728	23
28729	5
28736	23
28738	23
28739	18
28740	23
28752	29
28757	23
28760	15
28762	28
28766	58
28785	107
28833	50
28837	17
28840	11
28841	11
28843	32
28846	11
28849	10
28856	17
28864	18
28867	23
28870	23
28873	29
28875	17
28879	32
28880	40
28883	15
28884	32
28889	26
28898	8
28902	23
28903	11
28907	20
28910	11
28915	35
28916	5
28929	105
28933	20
28934	20
28937	11
28943	8
28948	23
28949	20
28951	29
28957	14
28960	20
28961	35
28967	23
28968	38
28978	14
28980	32
28985	17
28986	56
28987	87
28989	22
28991	30
28998	134
29000	26
29002	8
29008	38
29009	10
29013	32
29017	29
29019	8
29024	29
29026	20
29028	23
29031	85
29033	10
29038	17
29040	32
29041	17
29042	35
29044	10
29048	10
29052	20
29053	22
29054	20
29056	58
29060	43
29061	14
29062	38
29063	8
29065	17
29071	41
29073	17
29079	20
29084	16
29087	100
29093	20
29094	23
29096	20
29097	17
29100	17
29110	16
29113	37
29115	8
29116	61
29119	68
29120	14
29123	26
29124	17
29125	68
29126	20
29127	27
29128	20
29135	20
29136	23
29138	26
29140	17
29141	8
29143	17
29151	37
29154	37
29156	10
29162	11
29164	20
29172	10
29175	40
29177	25
29185	29
29186	26
29190	73
29193	20
29196	62
29200	20
29206	32
29213	62
29218	35
29219	25
29222	10
29227	10
29229	11
29230	35
29243	236
29249	34
29250	26
29253	20
29256	80
29259	10
29260	35
29264	35
29265	11
29266	20
29267	10
29269	47
29271	20
29273	80
29277	80
29278	14
29280	11
29288	11
29289	29
29291	36
29295	29
29305	5
29306	253
29307	32
29309	15
29310	7
29311	26
29312	32
29313	8
29314	26
29317	31
29320	14
29323	32
29325	20
29327	73
29334	30
29345	12
29349	32
29358	23
29360	10
29361	115
29376	35
29381	39
29392	35
29398	41
29399	20
29403	14
29404	11
29407	62
29414	5
29418	106
29419	50
29422	8
29424	11
29425	73
29426	20
29433	11
29435	26
29437	14
29438	8
29439	28
29442	20
29443	26
29445	26
29447	11
29448	34
29452	78
29455	47
29467	26
29475	32
29478	32
29480	63
29484	153
29495	5
29496	41
29498	37
29499	29
29504	82
29510	35
29512	74
29514	23
29516	23
29517	23
29519	109
29537	80
29541	20
29544	130
29550	26
29558	80
29562	38
29563	88
29565	8
29568	17
29570	23
29571	122
29574	32
29575	26
29576	8
29579	17
29582	14
29585	21
29587	21
29591	25
29605	96
29611	54
29617	11
29623	17
29626	23
29628	11
29630	29
29640	8
29644	20
29645	29
29646	64
29651	29
29654	5
29656	11
29661	32
29664	17
29665	10
29668	26
29670	85
29674	39
29680	29
29684	25
29687	42
29689	29
29691	15
29693	10
29694	17
29695	8
29699	82
29705	17
29718	11
29719	8
29725	32
29727	18
29732	26
29733	94
29744	73
29752	23
29754	12
29766	44
29773	21
29774	8
29776	11
29779	50
29782	29
29783	14
29784	15
29787	26
29796	26
29800	20
29801	10
29802	6
29805	53
29809	23
29810	17
29816	20
29818	11
29819	29
29822	6
29825	647
29826	7
29828	39
29830	26
29834	5
29837	44
29847	23
29848	26
29850	138
29852	20
29856	20
29862	43
29865	8
29867	17
29868	24
29874	35
29875	32
29877	29
29883	62
29885	32
29893	68
29895	44
29901	10
29903	29
29904	41
29908	14
29910	44
29919	41
29920	20
29921	6
29925	32
29926	11
29931	17
29939	47
29947	22
29948	37
29949	32
29954	45
29956	71
29969	11
29972	8
29979	11
29981	11
29987	14
29990	44
29994	10
30002	45
30005	140
30013	10
30020	44
30025	20
30027	53
30030	35
30031	82
30038	45
30048	4
30052	10
30053	10
30056	19
30057	29
30062	17
30066	17
30067	44
30072	8
30076	10
30077	23
30079	11
30080	77
30082	26
30098	32
30101	17
30115	41
30119	11
30123	41
30127	11
30128	10
30139	8
30140	26
30143	26
30144	32
30146	29
30148	20
30153	88
30155	8
30160	91
30161	14
30177	68
30188	17
30193	5
30197	14
30200	8
30201	17
30206	23
30210	10
30214	32
30215	17
30219	14
30226	14
30246	24
30251	11
30260	11
30265	8
30267	44
30270	17
30272	8
30276	11
30278	10
30282	23
30284	41
30298	70
30302	20
30304	14
30314	29
30315	104
30323	10
30327	53
30334	10
30337	20
30342	23
30344	32
30352	29
30358	17
30364	7
30372	36
30374	30
30379	9
30387	23
30390	14
30394	15
30396	11
30399	29
30405	29
30407	8
30408	20
30410	8
30411	19
30419	47
30421	14
30423	17
30428	59
30429	118
30433	10
30440	64
30447	23
30449	11
30451	8
30453	17
30457	8
30460	85
30469	11
30471	21
30474	23
30478	71
30479	14
30485	8
30494	20
30507	23
30518	39
30519	32
30520	8
30522	47
30523	22
30524	126
30539	11
30541	41
30543	7
30546	13
30552	20
30561	23
30562	20
30563	62
30566	74
30567	87
30569	29
30571	49
30573	5
30574	104
30577	32
30579	17
30581	17
30583	26
30584	20
30586	32
30587	23
30588	18
30589	38
30590	27
30591	26
30592	21
30593	26
30596	17
30597	13
30598	64
30604	14
30611	23
30612	37
30617	39
30618	29
30620	8
30625	29
30626	42
30631	74
30633	22
30634	20
30637	23
30639	26
30642	29
30647	10
30650	29
30651	26
30652	23
30653	10
30654	61
30655	24
30658	10
30662	32
30665	10
30666	26
30667	84
30668	26
30672	11
30674	20
30679	39
30682	3
30688	19
30689	73
30690	12
30692	35
30693	20
30696	17
30698	27
30704	25
30714	11
30716	32
30717	95
30722	26
30725	32
30726	23
30729	44
30730	11
30735	9
30740	79
30742	8
30747	32
30749	22
30754	14
30757	11
30760	53
30761	44
30765	23
30768	20
30769	19
30771	65
30772	17
30775	67
30780	104
30787	59
30789	133
30796	110
30803	12
30805	116
30813	56
30814	5
30815	23
30817	26
30818	5
30819	91
30838	4
30841	41
30843	94
30856	20
30859	41
30861	26
30862	11
30863	26
30865	37
30867	17
30869	35
30870	47
30871	55
30873	78
30875	5
30877	10
30878	8
30879	107
30886	67
30893	31
30894	104
30897	34
30899	11
30900	41
30903	11
30906	11
30907	17
30913	30
30917	188
30924	34
30929	41
30934	14
30936	16
30938	20
30939	44
30940	32
30941	20
30943	26
30958	31
30962	8
30965	71
30966	45
30967	23
30968	8
30974	8
30977	56
30983	23
30989	40
30998	24
31011	15
31014	38
31018	41
31019	23
31020	68
31024	16
31028	8
31030	32
31031	23
31038	50
31047	155
31050	33
31057	35
31065	27
31066	28
31067	9
31071	10
31073	26
31084	41
31090	68
31093	11
31101	102
31108	29
31126	54
31135	17
31140	14
31142	26
31143	17
31146	20
31147	8
31155	11
31156	35
31164	17
31167	26
31171	35
31172	17
31173	11
31175	17
31177	35
31180	23
31181	29
31184	11
31187	11
31192	58
31198	19
31213	26
31215	20
31222	8
31226	94
31229	11
31237	8
31238	14
31242	17
31245	38
31248	32
31261	29
31263	20
31264	20
31283	38
31284	38
31325	634
31348	50
31464	86
31719	23
31724	25
31728	26
31730	20
31733	35
31735	19
31738	15
31740	20
31746	21
31750	38
31752	25
31754	27
31756	26
31758	23
31759	23
31760	17
31761	26
31764	29
31766	21
31767	28
31772	32
31779	30
31782	26
31797	22
31806	23
31863	31
31925	29
31970	20
31981	29
32000	23
32007	26
32009	23
32017	26
32198	19
32199	36
32217	19
32434	71
32442	20
32544	26
32562	23
32610	24
32742	20
32833	2
32842	19
32846	17
32877	20
32940	20
32969	20
33216	26
33217	20
33246	20
33288	20
33367	20
33371	26
33374	20
33390	20
33428	21
33430	32
33433	18
33436	16
33437	32
33496	18
33524	26
33559	18
33612	20
33616	23
33814	26
33816	21
33817	20
33820	20
33823	26
34146	20
34196	31
34202	26
34206	26
34226	2
34350	26
34355	20
34357	20
34380	36
34381	26
34478	21
34481	19
34589	26
34692	20
34696	20
34721	23
34846	24
34851	18
34855	29
34932	17
35027	29
35080	24
35153	32
35154	19
