seq	C1	C2	C3	C4	C5	C6	C7	C8
502	0.7658	0.7658	0.7658	0.7658	38.7656	38.7656	41.766	41.766
503	0.5131	0.5131	0.5131	0.5131	38.5129	38.5129	41.5134	41.5134
504	1.3435	1.3435	1.3435	1.3435	38.3444	38.3444	42.1434	41.3449
505	1.2989	1.2989	1.2989	1.2989	39.1987	39.1987	40.1988	40.1988
506	1.2808	1.2808	1.2808	1.2808	38.2819	38.2819	41.2822	41.2822
507	1.2015	1.2015	1.2015	1.2015	38.2027	38.2027	42.2014	42.2014
508	1.1583	1.1583	1.1583	1.1583	38.1596	38.1596	42.1582	42.1582
509	0.7701	0.7701	0.7701	0.7701	38.7698	38.7698	42.7698	42.7698
510	0.7336	0.7336	0.7336	0.7336	39.5329	38.7333	41.7336	41.7336
511	0.6821	0.6821	0.6821	2.4813	38.6818	39.4813	40.6833	40.6833
512	0.6047	0.6047	0.6047	0.6047	38.6045	38.6045	41.6046	41.6046
513	0.5568	0.5568	1.3558	0.5568	38.5567	38.5567	41.5568	41.5568
514	0.5116	0.5116	0.5116	0.5116	39.5109	39.5109	40.4107	40.4107
515	1.3041	1.3041	2.1039	1.3041	38.3054	38.3054	41.305	41.305
516	2.2588	2.2588	2.2588	2.2588	38.2598	38.2598	41.2599	42.0586
517	1.1252	1.1252	1.1252	1.1252	38.1262	38.1262	42.0249	42.0249
518	1.032	1.032	1.032	1.032	38.0333	38.0333	41.0331	41.0331
519	1.0181	1.0181	1.0181	1.0181	38.9177	38.9177	41.0194	41.0194
520	1.0163	1.0163	1.0163	1.0163	39.0162	39.0162	41.0176	41.0176
521	0.8962	0.8962	0.8962	0.8962	39.8957	39.8957	40.7956	40.7956
522	0.8608	0.8608	0.8608	0.8608	38.8608	38.8608	41.8605	41.8605
523	0.7986	0.7986	0.7986	0.7986	38.7987	38.7987	41.7983	41.7983
524	0.776	0.776	0.776	0.776	38.7761	38.7761	42.575	41.7758
525	1.6071	2.4068	1.6071	1.6071	38.6081	38.6081	41.6078	41.6078
526	0.5178	0.5178	0.5178	0.5178	38.5183	38.5183	41.5178	41.5178
527	1.4495	2.2492	1.4495	1.4495	38.4506	38.4506	42.4494	42.4494
528	1.244	1.244	1.244	1.244	38.2453	38.2453	41.2449	42.0436
529	1.2342	1.2342	1.2342	1.2342	38.2356	38.2356	41.2353	41.2353
530	1.1727	1.1727	1.9721	1.1727	39.1725	39.1725	41.1736	41.9722
531	1.0185	1.0185	1.8179	1.0185	39.0183	39.0183	41.0196	41.0196
532	1.8756	1.8756	0.9763	0.9763	38.9762	40.7755	41.9759	41.9759
533	0.9657	0.9657	0.9657	0.9657	38.9657	38.9657	41.9654	41.9654
534	0.8651	0.8651	0.8651	0.8651	37.8661	37.8661	42.8644	42.8644
535	0.6398	0.6398	0.6398	0.6398	38.6398	38.6398	41.6397	41.6397
536	0.6004	0.6004	0.6004	0.6004	38.6005	38.6005	40.6013	40.6013
537	0.5128	0.5128	0.5128	0.5128	38.513	38.513	41.5126	41.5126
538	0.4827	0.4827	0.4827	0.4827	38.4829	38.4829	41.4826	41.4826
539	2.2106	1.4108	1.4108	1.4108	38.4123	38.4123	41.4122	41.4122
540	2.1436	1.3438	1.3438	1.3438	38.3454	38.3454	42.2436	42.2436
541	2.0008	1.201	1.201	1.201	39.2008	39.2008	41.2024	41.2024
542	1.7266	0.9267	0.9267	0.9267	38.9267	38.9267	41.9268	41.9268
543	1.6264	0.8266	0.8266	0.8266	38.8266	38.8266	41.8267	41.8267
544	1.6236	1.6232	0.8238	0.8238	38.8238	38.8238	41.824	42.6232
545	1.7518	1.7518	1.7518	1.7518	38.7526	38.7526	41.7526	41.7526
546	1.454	0.6543	0.6543	0.6543	38.6544	38.6544	41.6546	41.6546
547	1.4386	1.4386	1.4386	1.4386	38.4395	38.4395	41.4396	41.4396
548	1.3031	1.3031	1.3031	1.3031	38.3041	38.3041	41.3042	41.3042
549	0.9741	0.9741	0.9741	0.9741	37.9752	37.9752	40.9753	40.9753
550	1.6793	1.6793	0.7797	0.7797	37.7809	38.5793	41.5792	40.781
551	1.4153	0.6159	0.6159	0.6159	38.6155	38.6155	39.5155	40.4153
552	0.5847	0.5847	0.5847	0.5847	38.5844	38.5844	40.5859	40.5859
553	0.5544	0.5544	2.4537	2.4537	38.554	38.554	41.5538	41.5538
554	2.1629	1.3631	1.3631	1.3631	39.3631	39.3631	40.2631	40.2631
555	2.1416	1.3418	1.3418	1.3418	38.3422	38.3422	41.3419	41.3419
556	2.6023	0.8027	0.8027	0.8027	36.8043	36.8043	40.8028	40.8028
557	1.6182	1.6182	1.6182	1.6182	37.6189	37.6189	39.62	39.62
558	2.33	0.5304	0.5304	0.5304	37.531	37.531	40.5305	40.5305
559	1.2843	0.4847	0.4847	0.4847	37.4853	37.4853	40.4848	40.4848
560	2.2808	0.4813	0.4813	0.4813	37.482	37.482	40.4815	40.4815
561	1.2974	1.2974	2.0971	1.2974	37.2986	37.2986	41.2974	41.2974
562	1.2185	1.2185	1.2185	1.2185	37.2198	37.2198	40.2192	40.2192
563	1.825	1.0251	1.0251	1.0251	38.8247	38.0251	40.026	40.026
564	0.9417	1.7412	0.9417	0.9417	36.9431	36.9431	39.9427	41.7412
565	0.6452	0.6452	0.6452	0.6452	37.6451	37.6451	39.6462	39.6462
566	0.5837	0.5837	0.5837	0.5837	37.5837	37.5837	40.5834	40.5834
567	0.4965	0.4965	1.2958	0.4965	37.4965	37.4965	39.4975	39.4975
568	0.4764	1.2756	1.2757	0.4764	37.4765	37.4765	40.476	40.476
569	2.2102	1.4104	2.3103	2.3103	37.4113	37.4113	40.4109	41.2103
570	1.281	1.281	3.0807	2.1809	38.0808	37.282	40.2816	40.2816
571	1.1968	1.1968	2.0967	2.0967	37.1978	37.1978	40.1974	40.1974
572	1.1897	1.1897	2.0897	2.0897	37.1908	37.1908	40.9893	40.1905
573	1.1087	1.1087	2.0086	2.0086	37.1099	37.1099	40.1097	40.1097
574	1.0811	1.0811	1.981	1.981	37.0824	37.0824	41.0808	41.0808
575	1.0508	1.0508	1.9507	1.9507	38.0503	38.0503	40.0518	40.0518
576	0.8915	0.8915	1.7914	1.7914	38.7908	38.7908	39.7908	39.7908
577	0.8202	0.8202	1.7201	1.7201	37.8197	37.8197	40.8197	40.8197
578	0.7717	0.7717	2.6708	2.6708	37.6708	37.6708	41.771	41.771
579	0.7483	0.7483	1.6482	1.6482	37.748	37.748	40.7479	40.7479
580	0.7258	0.7258	1.6257	1.6257	37.7256	37.7256	40.7255	40.7255
581	1.6422	1.6422	1.6422	1.6422	37.643	37.643	39.644	39.644
582	0.5473	0.5473	1.4472	1.4472	37.5473	37.5473	40.5471	40.5471
583	0.536	1.3346	1.4358	2.3346	37.536	37.536	41.4347	41.4347
584	0.5236	0.5236	1.4236	1.4236	37.5238	37.5238	40.5235	41.3223
585	1.3179	2.1176	1.3179	1.3179	37.3193	37.3193	40.319	40.319
586	0.8095	0.8095	1.6092	0.8095	37.8094	37.8094	38.7093	39.6093
587	0.7901	1.5898	0.7901	0.7901	37.7901	37.7901	39.7912	39.7912
588	0.7286	0.7286	0.7286	0.7286	38.7283	39.5281	39.6282	39.6282
589	0.724	0.724	0.724	0.724	38.7238	38.7238	39.6236	39.6236
590	0.5805	1.38	1.48	1.48	37.5806	37.5806	40.5805	40.5805
591	0.4954	0.4954	1.3949	1.3949	37.4956	37.4956	39.4963	39.4963
592	1.4632	1.4632	2.3631	2.3631	37.464	37.464	39.4649	39.4649
593	1.2357	2.0354	3.1355	3.1355	39.0354	38.1355	39.1357	39.1357
594	1.1939	1.9936	4.1937	4.9935	37.1949	37.1949	40.194	40.194
595	1.1104	1.9102	3.0103	3.0103	37.1116	37.1116	39.112	39.112
596	1.0058	1.8056	2.9057	2.9057	38.0059	38.0059	38.9057	39.8054
597	0.9799	2.7793	2.8797	2.8797	36.981	36.981	39.9802	39.9802
598	1.8595	1.8595	3.8596	3.8596	36.8612	36.8612	39.8603	39.8603
599	0.7446	1.5443	2.6445	2.6445	37.7447	37.7447	39.7451	39.7451
600	0.699	1.4987	2.5989	3.4982	37.6992	37.6992	39.6996	39.6996
601	0.6384	1.4381	2.5383	2.5383	37.6386	37.6386	39.639	39.639
602	0.5797	1.3794	3.3787	2.4796	36.5807	36.5807	39.5804	39.5804
603	3.4596	3.4596	2.4604	2.4604	38.5597	38.5597	39.4597	39.4597
604	0.5406	1.3404	2.4406	2.4406	37.5411	37.5411	40.5395	40.5395
605	2.0099	1.2103	2.111	2.111	37.2115	38.01	40.2108	41.0098
606	2.0068	1.2071	2.1079	2.1079	38.0068	37.2085	40.2076	40.2076
607	2.0431	2.0431	2.843	2.0431	37.0448	37.0448	40.0438	40.0438
608	1.9445	1.9445	1.9445	1.9445	37.9446	37.9446	38.8445	38.8445
609	1.7285	0.9289	1.8296	2.7284	38.9285	38.9285	39.8282	39.8282
610	1.668	0.8684	1.7691	1.7691	37.8684	37.8684	38.7681	38.7681
