seq	delay
800	29.6
801	28.6
802	25.6
803	8.6
804	34.6
805	9.6
806	20.6
807	1.6
808	30.6
809	8.6
810	6.6
811	35.6
812	29.6
813	10.6
814	8.6
815	35.6
816	34.6
817	29.6
818	36.6
819	1.6
820	37.6
821	12.6
822	38.6
823	36.6
824	30.6
825	0.6
826	13.6
827	9.6
828	6.6
829	15.6
830	12.6
831	6.6
832	3.6
833	15.6
834	21.6
835	3.6
836	32.6
837	34.6
838	5.6
839	3.6
840	6.6
841	30.6
842	26.6
843	30.6
844	4.6
845	21.6
846	36.6
847	5.6
848	36.6
849	34.6
850	8.6
851	20.6
852	7.6
853	6.6
854	3.6
855	0.6
856	37.6
857	35.6
858	33.6
859	28.6
860	27.6
861	25.6
862	21.6
863	19.6
864	18.6
865	12.6
866	34.6
867	16.6
868	13.6
869	2.6
870	38.6
871	26.6
872	9.6
873	1.6
874	0.6
875	18.6
876	37.6
877	36.6
878	35.6
879	33.6
880	31.6
881	25.6
882	15.6
883	29.6
884	23.6
885	14.6
886	10.6
887	8.6
888	4.6
889	38.6
890	35.6
891	33.6
892	38.6
893	12.6
894	10.6
895	20.6
896	0.599999999999
897	34.6
898	33.6
899	15.6
900	3.6
901	39.6
902	39.6
903	38.6
904	37.6
905	22.6
906	19.6
907	30.6
908	22.6
909	37.6
910	34.6
911	10.6
912	39.6
913	19.6
914	13.6
915	36.6
916	29.6
917	24.6
918	13.6
919	8.6
920	4.6
921	39.6
922	31.6
923	20.6
924	19.6
925	5.6
926	38.6
927	34.6
928	26.6
929	14.6
930	8.6
931	7.6
932	2.6
933	38.6
934	30.6
935	29.6
936	27.6
937	21.6
938	11.6
939	8.6
940	2.6
941	0.599999999999
942	32.6
943	31.6
944	25.6
945	14.6
946	4.6
947	28.6
948	13.6
949	12.6
950	10.6
951	6.6
952	1.6
953	37.6
954	24.6
955	21.6
956	18.6
957	16.6
958	12.6
959	9.6
960	8.6
961	35.6
962	24.6
963	4.6
964	37.6
965	22.6
966	18.6
967	11.6
968	9.6
969	5.6
970	3.6
971	31.6
972	25.6
973	19.6
974	17.6
975	16.6
976	13.6
977	10.6
978	7.6
979	36.6
980	35.6
981	27.6
982	24.6
983	13.6
984	4.6
985	37.6
986	35.6
987	17.6
988	16.6
989	20.6
990	11.6
991	5.6
992	33.6
993	25.6
994	20.6
995	18.6
996	16.6
997	5.6
998	2.6
999	38.6
1000	17.6
