seq	delay
459	0.4
460	0.2
461	0.2
462	0.2
463	0.5
464	0.5
465	0.5
466	0.3
467	0.3
468	0.3
469	0.6
470	0.6
471	0.6
472	0.4
473	0.4
474	0.41
475	0.2
476	0.2
477	0.21
478	0.5
479	0.5
480	0.51
481	0.3
482	0.3
483	0.31
484	0.6
485	0.6
486	0.61
487	0.4
488	0.4
489	0.41
490	0.2
491	0.2
492	0.21
493	0.51
494	0.5
495	0.51
496	0.31
497	0.3
498	0.31
499	0.61
500	0.61
501	0.61
502	0.41
503	0.41
504	0.41
505	0.21
506	0.21
507	0.21
508	0.51
509	0.51
510	0.51
511	0.31
512	0.31
513	0.31
514	0.61
515	0.61
516	0.61
517	0.41
518	0.41
519	0.41
520	0.21
521	0.21
522	0.21
523	0.51
524	0.51
525	0.51
526	0.31
527	0.31
528	0.309999999999
529	0.610000000001
530	0.610000000001
531	0.610000000001
532	0.41
533	0.41
534	0.41
535	0.209999999999
536	0.209999999999
537	0.209999999999
538	0.51
539	0.51
540	0.51
541	0.309999999999
542	0.309999999999
543	0.309999999999
544	0.610000000001
545	0.610000000001
546	0.610000000001
547	0.41
548	0.41
549	0.41
550	0.209999999999
551	0.209999999999
552	0.209999999999
553	0.51
554	0.51
555	0.51
556	0.309999999999
557	0.309999999999
558	0.309999999999
559	0.610000000001
560	0.610000000001
561	0.610000000001
562	0.41
563	0.41
564	0.41
565	0.209999999999
566	0.209999999999
567	0.209999999999
568	0.51
569	0.51
570	0.51
571	0.309999999999
572	0.309999999999
573	0.309999999999
574	0.610000000001
575	0.610000000001
576	0.610000000001
577	0.41
578	0.41
579	0.41
580	0.209999999999
581	0.209999999999
582	0.209999999999
583	0.51
584	0.51
585	0.51
586	0.309999999999
587	0.309999999999
588	0.309999999999
589	0.610000000001
590	0.610000000001
591	0.610000000001
592	0.41
593	0.41
594	0.41
595	0.209999999999
596	0.209999999999
597	0.209999999999
598	0.51
599	0.51
600	0.51
601	0.309999999999
602	0.309999999999
603	0.309999999999
604	0.610000000001
605	0.610000000001
606	0.610000000001
607	0.41
608	0.41
609	0.41
610	0.209999999999
611	0.209999999999
612	0.209999999999
613	0.51
614	0.51
615	0.51
616	0.309999999999
617	0.309999999999
618	0.309999999999
619	0.610000000001
620	0.610000000001
621	0.610000000001
622	0.41
623	0.41
624	0.41
625	0.209999999999
626	0.209999999999
627	0.209999999999
628	0.51
629	0.51
630	0.51
631	0.309999999999
632	0.309999999999
633	0.309999999999
634	0.610000000001
635	0.610000000001
636	0.610000000001
637	0.41
638	0.41
639	0.41
640	0.209999999999
641	0.209999999999
642	0.209999999999
643	0.51
644	0.51
645	0.51
646	0.309999999999
647	0.309999999999
648	0.309999999999
649	0.610000000001
650	0.610000000001
651	0.610000000001
652	0.41
653	0.41
654	0.41
655	0.209999999999
656	0.209999999999
657	0.209999999999
658	0.51
659	0.51
660	0.51
661	0.309999999999
